"agency_cd","site_no","datetime","discharge.max","discharge.max.approval","discharge.min","discharge.min.approval","discharge.mean","discharge.mean.approval","gage.height.max","gage.height.max.approval","gage.height.min","gage.height.min.approval","gage.height.mean","gage.height.mean.approval"
"USGS",2085000,"280717",NA,"",NA,"",14,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280718",NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280719",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280720",NA,"",NA,"",10,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280721",NA,"",NA,"",9.4,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280722",NA,"",NA,"",8.7,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280723",NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280724",NA,"",NA,"",13,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280725",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280726",NA,"",NA,"",10,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280727",NA,"",NA,"",9.4,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280728",NA,"",NA,"",8.3,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280729",NA,"",NA,"",9.4,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280730",NA,"",NA,"",8.3,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280731",NA,"",NA,"",7.7,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280801",NA,"",NA,"",7,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280802",NA,"",NA,"",6.4,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280803",NA,"",NA,"",5.7,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280804",NA,"",NA,"",5.2,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280805",NA,"",NA,"",4.7,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280806",NA,"",NA,"",12,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280807",NA,"",NA,"",11,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280808",NA,"",NA,"",17,"A",NA,"",NA,"",NA,""
"USGS",2085000,"280809",NA,"",NA,"",22,"A",NA,"",NA,"",NA,""
